id,ttm_ason,mcap,ev,pe,pbv,divyield,eps,book_value,roa_ttm,roe_ttm,roce_ttm,ebit_ttm,ebitda_ttm,ev_sales_ttm,ev_ebitda_ttm,net_income_margin_ttm,gross_income_margin_ttm,asset_turnover_ttm,current_ratio_ttm,debt_equity_ttm,sales_total_assets_ttm,net_debt_ebitda_ttm,ebitda_margin_ttm,total_share_holders_equity_ttm,short_term_debt_ttm,long_term_debt_ttm,shares_outstanding,eps_diluted,net_sales,net_profit,annual_dividend,cogs,peg_ratio_ttm,dividend_payout_ttm,company_id
220,202303,505430.17,1072434.45,31.12,3.77,1.6,87.71,724.6490493,2.234442825158677,12.1203,7.9613,56008.78,56284.64,17.821313832660845,19.0537675998283,26.98595993457309,33.71699552670145,0.0828001979761342,0.6027,4.2409,0.0828001979761342,10.073872374416894,93.53170568125036,133984.74,0,568221.88,1851426483,87.71,60177.07,16239.36,8072.02,1025.25,1.9798171119974635,0,230
221,202303,505430.17,1084232.15,19.32,2.51,1.6,141.3,1089.1780793,2.5377029891395266,12.9847,8.7808,68975.61,69572.40999999999,7.089253156052772,15.584225844699072,17.10531400334444,21.398781550311313,0.14011562901077354,1.011,2.89,0.14011562901077354,8.319418286645526,45.48992825629616,201474.48,0,582264.89,1851426483,141.3,152940.25,26160.909999999996,8072.02,2159.96,1.4440271610982456,NULL,230
222,201912,45229.85,41001.13,39.13,10.87,0.98,274.81,989.4816928,18.816716781412342,26.4374,37.9181,1636.3700000000001,1710.4099999999999,8.226006303755971,23.971521448073855,23.189275188440575,34.21202047215975,0.8114404882646841,2.9532,0,0.8114404882646841,-2.4723428885471908,34.315745546542864,4161.76,0,0,42055538,274.81,4984.33,1155.8300000000002,441.63,2044.5700000000002,1.4394341310934913,0,231
249,202006,21.12,NULL,0,0,0,0,-84.0241595,-16.277357606585902,0,0,-24.319999999999997,-24.319999999999997,0,NULL,0,0,0,0.1741,-0.6852,0,-10.774259868421053,0,-396.21,259.4,12.08,54871679,0,0,-24.319999999999997,0,0,0,0,263
278,202309,3740.82,17507.37,0,1.99,0,0,417.5875831,-2.8899261992080696,-31.5023,4.9905,871.95,1224.17,2.4317345274837003,14.301420554334772,-8.240665375843456,-2.7661489484050366,0.35069088082129257,1.1441,7.8376,0.35069088082129257,11.245619480954442,17.00344744247549,1883.32,7.94,14752.68,45100000,0,7199.54,-593.29,0,4915.420000000001,0,0,300
279,202309,3740.82,17499.42,0,13.58,0,0,61.0687361,-9.382229366340395,-707.4395,-4.8424,-768.7500000000001,52.81,1.5028456251572673,331.36565044499145,-16.73306601833189,-11.782184935147917,0.5394000176029424,1.2387,53.6155,0.5394000176029424,260.5302026131414,0.45353090253594286,275.42,8.97,14757.81,45100000,0,11644.189999999999,-1948.43,0,8250.6,0,NULL,300
289,202306,105.07,293.907,0,0,0,0,-0.3056979,-15.210985092367887,-31.5891,-8.2813,-76.35,-64.76,0.5280873236905939,-4.538403335392217,-22.073488455664364,-19.991016081214628,0.6891065326135406,0.8636,0.7321,0.6891065326135406,-2.915843113032736,-11.63597161081664,270.22,168.16,29.66,868332614,0,556.55,-122.85000000000001,0,415.09,0,0,306
325,201712,5.36,260.5595157,0,0.23,0,0,21.3570449,-7.204329117225192,-175.33839,-0.1675,4.790000000000001,14.5,1.039701191891784,17.969621772413795,-13.227724352579703,-9.349187981325565,0.5446385882557483,1.57,9.39,0.5446385882557483,14.777241379310345,5.785882446829735,23.36,157.07,62.42,10941667,0,232.24,-33.15,0,143.7,0,0,347
382,201806,653.59,721.2992,0,0,0,0,-62.3425982,-22.321340464583866,58.0204,12.6721,-17.089999999999996,-8.02,0,-89.93755610972569,0,0,0,0.0606,-0.3813,0,-10.29925187032419,0,-221.54000000000002,84.46,0,29790000,0,0,-113.1,0,5.140000000000001,0,0,423
402,202306,629.21,627.451,116.92,13.38,0.37,2.29,20.0122128,10.81243731193581,9.4564,12.2213,7,7,46.102204261572375,89.63585714285715,39.60323291697282,51.43277002204262,0.27301905717151453,11.4906,0,0.27301905717151453,-0.25142857142857145,51.43277002204262,47.03,0,0,23482843,2.29,13.61,5.390000000000001,2.35,1.31,2.966225435425568,0,450
430,202309,1.34,1.0949,1.72,0.68,0,1.1,2.7998857,15.264187866927593,39.2266,3.7892,0.07,0.07,0,15.64142857142857,0,0,0,1.5572,0.0632,0,1,0,1.9800000000000004,0.13,0,7087943,1.1,0,0.78,0,0.04,0,0,495
433,201203,7.77,NULL,0,0,0,0,-364.801705,-119.43385955362001,6.3488998,0.0801,-0.2400000000000002,-0.24000000000000002,0,NULL,0,0,0,0.06,-0.13,0,-186.04166666666666,0,-345.57,45.85,0,9472931,0,0,-21.939999999999998,0,0.09,0,0,500
497,202309,4505.52,3931.733,48.31,3.66,0.7,8.91,117.5762301,5.003191358124018,7.5786,11.3058,140.87,209.35,1.136946922487457,18.780668736565563,2.697396006535286,5.629888813382878,1.8548227053062363,2.4364,0.0124,1.8548227053062363,-2.740816813947934,6.053814901030898,1230.8,2.67,12.55,104667638,8.91,3458.15,93.28,31.44,2921.31,-0.7550731204993031,0,565
536,201006,16.93,NULL,0,0,0,0,-1.4699463,0,NULL,NULL,-0.28,-0.28,0,NULL,0,0,0,NULL,NULL,0,NULL,0,NULL,NULL,NULL,0,0,0,-0.28,0,0.04,0,0,611
565,201912,58.8,214.0328,1.55,0.31,0,13.83,68.2960486,7.842690106974044,20.2439,9.8771,36.08,39.36,0.6156205597261771,5.437825203252033,10.881007852273706,3.664394396985647,0.7207687204577494,1.5089,0.856,0.7207687204577494,3.94385162601626,11.321080334800241,186.78,37.5,122.38,27348526,13.83,347.67,37.83,0,296.5,-0.00668032592679509,0,644
630,201706,3.41,2.85,0,0,0,0,-225.9,-9.038619556285948,1.7264,1.7264,-1.0999999999999999,-0.9499999999999998,0.504424778761062,-3.0000000000000004,-19.469026548672563,-16.814159292035395,0.46425636811832377,0.0494,0,0.46425636811832377,0.5894736842105265,-16.814159292035395,-67.77,0,0,3000000,0,5.65,-1.0999999999999999,0,1.01,0,0,761
631,201703,9.45,39.21,0,0.37,0,0,26.3497125,-6.8890626357397275,-31.3563,-3.8169999,-2.37,-0.01000000000000012,0.5672743055555556,-3920.999999999953,-11.472800925925924,-6.741898148148148,0.6004691164972635,1.3767,1.3511,0.6004691164972635,-2975.9999999999645,-0.014467592592592764,25.29,30.71,3.46,9596499,0,67.19,-7.93,0,46.19,0,0,762
632,201303,9.45,39.189998626708984,0,0.39,0,0,24.9950518,-2.8331495461871232,NULL,NULL,1.8199999999999998,4.64,0.40141348588250525,8.446120393687282,-3.339137560176176,-1.9461231178940903,0.8281448808211044,1.5054,0.8543,0.8281448808211044,6.247844827586208,4.752637508962409,36.77,24.95,6.46,9596499,0,97.63,-3.2600000000000002,0,74.16,0,NULL,762
643,201912,6.07,25.0833,0,0.13,0,0,21.2218864,-97.63339070567987,100.5413,-2332.7869,-91.51,-88.95,55.74066666666668,-0.28199325463743674,-20168.888888888894,-19600.000000000004,0.0048407917383821,0.0632,-1.0092,0.0048407917383821,-1.3197301854974706,-19766.666666666668,-116.38999999999999,108.92,8.54,21838462,0,0.44999999999999996,-90.76,0,12.419999999999998,0,0,795
645,201412,146.41,NULL,0,1.6,0,0,6.1146413,-23.054386593949918,-693.48822,-42.823799,-323.79,-236.14999999999998,NULL,NULL,-9488.737864077673,-7770.4854368932065,0.002429657866430148,1.09,11.15,0.002429657866430148,-4.323226762650858,-4585.436893203884,91.72999999999999,146.68,876.23,150007773,0,5.149999999999999,-488.67,0,34.76,0,0,798
652,202106,31.8,155.5819,0,0,0,0,-52.3457174,-17.07486538127497,23.292,-43.8324,-15.79,-14.350000000000001,19.06640931372549,-10.841944250871078,-240.93137254901958,-330.39215686274514,0.07087024491922876,0.2944,-1.3057,0.07087024491922876,-7.3428571428571425,-175.85784313725492,-80.72,98.48,6.92,18327400,0,8.16,-19.66,0,16.89,0,0,807
664,201803,391.3,600.1463933,0,0,0,0,-4.0452841,-3.6032714352751896,-125.3123,-1.8871,-4.57,1.0400000000000005,4.436655528202853,577.0638397115382,-7.947068825312338,-3.792415169660679,0.4534088623717906,3.7151,27.1909,0.4534088623717906,181.24038461538453,0.7688327049604498,8.569999999999997,11.86,221.25,33660195,0,135.27,-10.75,0,97.6,0,0,818
696,202303,276.92,274.7091,41.51,1.4,0,48.7,1441.1605839,4.4527290244208935,5.3839,6.8875,13.709999999999997,14.639999999999999,1.897686515612047,18.764282786885246,7.3431887261674476,10.085659021829233,0.6063754031751352,1.3805,0.0024,0.6063754031751352,-0.15095628415300547,10.11329096435479,197.44,0.47,0,1365034,48.7,144.76000000000002,10.629999999999999,0,49.449999999999996,4.60302953433592,0,890
700,201806,6.54,143.2557,0,0,0,0,-68.7350573,-43.45878136200717,103.5957,-37.0118,-35.3,-27.44,41.887631578947364,-5.220688775510204,-2694.444444444445,-905.2631578947368,0.016129032258064516,0.451,-2.9475,0.016129032258064516,-4.822157434402332,-802.3391812865498,-45.19000000000001,80.23,52.99,22235000,0,3.4699999999999998,-92.15,0,18.580000000000002,0,0,900
701,202309,0,NULL,0,0,0,16.54,119.525,7.006369426751593,20.149,23.3885,1.1300000000000001,1.75,NULL,NULL,5.929919137466308,14.645103324348607,1.1815286624203822,0.7429,0.4275,1.1815286624203822,0.5428571428571428,15.723270440251572,3.25,0.89,0.49,0,16.54,11.13,0.66,0,4.37,0,0,901
738,201712,3.73,6556.68,0,0,0,0,-73.4790357,-25.4130825084069,150.3178,-1.1404,-188.64000000000007,-185.39,0,-35.36695614650197,0,0,0,0.5013,-8.3976,0,-35.34683639894277,0,-783.5,6579.5,0,106607894,0,0,-1504.64,0,0.31,0,0,976
755,201803,2.04,9.2769,0,0,0,0,-13.7484487,-328.6150712830957,185.1183,929.9317,-31.36,-31.31,0.27293027360988525,-0.2962919195145321,-94.93968814357162,-94.79258605472197,3.4613034623217924,0.8277,-0.8118,3.4613034623217924,-0.2312360268284893,-92.11532803765813,-9.01,7.31,0.01,8670040,0,33.99,-32.269999999999996,0,31.92,0,0,1011
767,201709,6.84,152.8657,0,0,0,0,-26.2922943,-62.488422352577956,9.2592,11.8359,-45.06999999999999,-41.36,849.2538888888889,-3.6959792069632496,-44977.777777777774,-42916.66666666667,0.0013893176906452608,1.0655,-1.1571,0.0013893176906452608,-8.354690522243713,-22977.777777777777,-322.05999999999995,372.57,0.08,136877482,0,0.18,-80.96,0,3.43,0,0,1035
768,201203,6.84,148.66510009765625,0,0,0,0,-17.71,0,NULL,NULL,-6.600000000000001,-1.0599999999999996,0.6327790078218108,-140.25009443175122,-10.470758491529752,-11.951987741551033,0,NULL,NULL,0,NULL,-0.4511790244317696,NULL,NULL,NULL,136877482,0,234.94,-24.6,0,137.25,0,NULL,1035
795,202212,295.82,273.6581,0,0.63,0,0,52.2333837,-0.48666288308740074,-0.3301,0.4505,-1.0800000000000036,10.479999999999999,0.36167543349545356,26.112414122137405,-0.45331994079086496,0.8762423345316132,1.0735527809307606,1.5046,0.0865,1.0735527809307606,-2.114503816793894,1.3850708395009514,466.98,38.51,1.89,89398236,0,756.64,-3.43,0,164.23999999999998,0,0,1074
